Created as New Dataset,Sample 845 By YargerLab Date Saturday, April 18 2026
cm-1,A
3324.00,0.0139
3323.00,0.0139
3322.00,0.0140
3321.00,0.0140
3320.00,0.0141
3319.00,0.0142
3318.00,0.0143
3317.00,0.0143
3316.00,0.0144
3315.00,0.0145
3314.00,0.0146
3313.00,0.0147
3312.00,0.0147
3311.00,0.0148
3310.00,0.0148
3309.00,0.0149
3308.00,0.0150
3307.00,0.0151
3306.00,0.0152
3305.00,0.0154
3304.00,0.0156
3303.00,0.0158
3302.00,0.0160
3301.00,0.0161
3300.00,0.0162
3299.00,0.0163
3298.00,0.0164
3297.00,0.0165
3296.00,0.0166
3295.00,0.0167
3294.00,0.0168
3293.00,0.0169
3292.00,0.0171
3291.00,0.0172
3290.00,0.0174
3289.00,0.0176
3288.00,0.0177
3287.00,0.0178
3286.00,0.0179
3285.00,0.0180
3284.00,0.0181
3283.00,0.0182
3282.00,0.0183
3281.00,0.0183
3280.00,0.0184
3279.00,0.0185
3278.00,0.0185
3277.00,0.0185
3276.00,0.0186
3275.00,0.0186
3274.00,0.0186
3273.00,0.0186
3272.00,0.0186
3271.00,0.0187
3270.00,0.0188
3269.00,0.0190
3268.00,0.0193
3267.00,0.0194
3266.00,0.0195
3265.00,0.0196
3264.00,0.0197
3263.00,0.0197
3262.00,0.0198
3261.00,0.0198
3260.00,0.0199
3259.00,0.0199
3258.00,0.0199
3257.00,0.0199
3256.00,0.0199
3255.00,0.0200
3254.00,0.0201
3253.00,0.0202
3252.00,0.0203
3251.00,0.0204
3250.00,0.0204
3249.00,0.0204
3248.00,0.0204
3247.00,0.0205
3246.00,0.0206
3245.00,0.0208
3244.00,0.0209
3243.00,0.0211
3242.00,0.0212
3241.00,0.0213
3240.00,0.0214
3239.00,0.0215
3238.00,0.0216
3237.00,0.0216
3236.00,0.0217
3235.00,0.0217
3234.00,0.0217
3233.00,0.0219
3232.00,0.0221
3231.00,0.0224
3230.00,0.0227
3229.00,0.0229
3228.00,0.0230
3227.00,0.0232
3226.00,0.0233
3225.00,0.0235
3224.00,0.0237
3223.00,0.0238
3222.00,0.0240
3221.00,0.0242
3220.00,0.0243
3219.00,0.0245
3218.00,0.0246
3217.00,0.0248
3216.00,0.0250
3215.00,0.0251
3214.00,0.0253
3213.00,0.0255
3212.00,0.0257
3211.00,0.0260
3210.00,0.0261
3209.00,0.0263
3208.00,0.0265
3207.00,0.0267
3206.00,0.0269
3205.00,0.0271
3204.00,0.0273
3203.00,0.0275
3202.00,0.0277
3201.00,0.0279
3200.00,0.0282
3199.00,0.0284
3198.00,0.0286
3197.00,0.0288
3196.00,0.0290
3195.00,0.0292
3194.00,0.0294
3193.00,0.0296
3192.00,0.0298
3191.00,0.0300
3190.00,0.0302
3189.00,0.0305
3188.00,0.0307
3187.00,0.0310
3186.00,0.0312
3185.00,0.0314
3184.00,0.0316
3183.00,0.0319
3182.00,0.0321
3181.00,0.0323
3180.00,0.0326
3179.00,0.0329
3178.00,0.0331
3177.00,0.0334
3176.00,0.0337
3175.00,0.0340
3174.00,0.0342
3173.00,0.0345
3172.00,0.0348
3171.00,0.0351
3170.00,0.0353
3169.00,0.0356
3168.00,0.0359
3167.00,0.0362
3166.00,0.0365
3165.00,0.0368
3164.00,0.0371
3163.00,0.0374
3162.00,0.0377
3161.00,0.0380
3160.00,0.0383
3159.00,0.0386
3158.00,0.0389
3157.00,0.0391
3156.00,0.0393
3155.00,0.0394
3154.00,0.0395
3153.00,0.0397
3152.00,0.0400
3151.00,0.0404
3150.00,0.0409
3149.00,0.0414
3148.00,0.0418
3147.00,0.0421
3146.00,0.0424
3145.00,0.0427
3144.00,0.0429
3143.00,0.0430
3142.00,0.0431
3141.00,0.0432
3140.00,0.0434
3139.00,0.0436
3138.00,0.0440
3137.00,0.0444
3136.00,0.0449
3135.00,0.0452
3134.00,0.0456
3133.00,0.0458
3132.00,0.0460
3131.00,0.0463
3130.00,0.0465
3129.00,0.0469
3128.00,0.0473
3127.00,0.0477
3126.00,0.0480
3125.00,0.0483
3124.00,0.0485
3123.00,0.0486
3122.00,0.0486
3121.00,0.0487
3120.00,0.0488
3119.00,0.0491
3118.00,0.0494
3117.00,0.0497
3116.00,0.0502
3115.00,0.0507
3114.00,0.0512
3113.00,0.0517
3112.00,0.0520
3111.00,0.0523
3110.00,0.0525
3109.00,0.0528
3108.00,0.0532
3107.00,0.0536
3106.00,0.0541
3105.00,0.0545
3104.00,0.0549
3103.00,0.0552
3102.00,0.0554
3101.00,0.0557
3100.00,0.0561
3099.00,0.0566
3098.00,0.0570
3097.00,0.0575
3096.00,0.0579
3095.00,0.0583
3094.00,0.0586
3093.00,0.0588
3092.00,0.0590
3091.00,0.0593
3090.00,0.0596
3089.00,0.0598
3088.00,0.0601
3087.00,0.0602
3086.00,0.0603
3085.00,0.0604
3084.00,0.0605
3083.00,0.0607
3082.00,0.0608
3081.00,0.0609
3080.00,0.0611
3079.00,0.0614
3078.00,0.0619
3077.00,0.0624
3076.00,0.0631
3075.00,0.0637
3074.00,0.0644
3073.00,0.0651
3072.00,0.0660
3071.00,0.0669
3070.00,0.0680
3069.00,0.0694
3068.00,0.0713
3067.00,0.0739
3066.00,0.0772
3065.00,0.0815
3064.00,0.0869
3063.00,0.0934
3062.00,0.1007
3061.00,0.1082
3060.00,0.1149
3059.00,0.1196
3058.00,0.1214
3057.00,0.1203
3056.00,0.1165
3055.00,0.1112
3054.00,0.1053
3053.00,0.0997
3052.00,0.0948
3051.00,0.0909
3050.00,0.0879
3049.00,0.0856
3048.00,0.0838
3047.00,0.0824
3046.00,0.0814
3045.00,0.0806
3044.00,0.0801
3043.00,0.0797
3042.00,0.0796
3041.00,0.0795
3040.00,0.0796
3039.00,0.0797
3038.00,0.0798
3037.00,0.0798
3036.00,0.0799
3035.00,0.0801
3034.00,0.0803
3033.00,0.0806
3032.00,0.0809
3031.00,0.0813
3030.00,0.0817
3029.00,0.0821
3028.00,0.0825
3027.00,0.0828
3026.00,0.0832
3025.00,0.0835
3024.00,0.0839
3023.00,0.0842
3022.00,0.0846
3021.00,0.0849
3020.00,0.0853
3019.00,0.0856
3018.00,0.0859
3017.00,0.0862
3016.00,0.0865
3015.00,0.0868
3014.00,0.0871
3013.00,0.0875
3012.00,0.0879
3011.00,0.0883
3010.00,0.0888
3009.00,0.0892
3008.00,0.0896
3007.00,0.0899
3006.00,0.0902
3005.00,0.0905
3004.00,0.0909
3003.00,0.0912
3002.00,0.0915
3001.00,0.0917
3000.00,0.0920
2999.00,0.0922
2998.00,0.0924
2997.00,0.0925
2996.00,0.0927
2995.00,0.0927
2994.00,0.0927
2993.00,0.0927
2992.00,0.0926
2991.00,0.0926
2990.00,0.0925
2989.00,0.0924
2988.00,0.0923
2987.00,0.0922
2986.00,0.0921
2985.00,0.0920
2984.00,0.0919
2983.00,0.0919
2982.00,0.0919
2981.00,0.0921
2980.00,0.0924
2979.00,0.0928
2978.00,0.0933
2977.00,0.0937
2976.00,0.0941
2975.00,0.0945
2974.00,0.0948
2973.00,0.0951
2972.00,0.0954
2971.00,0.0957
2970.00,0.0960
2969.00,0.0963
2968.00,0.0966
2967.00,0.0968
2966.00,0.0970
2965.00,0.0972
2964.00,0.0974
2963.00,0.0976
2962.00,0.0979
2961.00,0.0982
2960.00,0.0986
2959.00,0.0989
2958.00,0.0993
2957.00,0.0997
2956.00,0.1001
2955.00,0.1005
2954.00,0.1010
2953.00,0.1015
2952.00,0.1020
2951.00,0.1026
2950.00,0.1031
2949.00,0.1037
2948.00,0.1042
2947.00,0.1047
2946.00,0.1052
2945.00,0.1058
2944.00,0.1064
2943.00,0.1070
2942.00,0.1076
2941.00,0.1082
2940.00,0.1087
2939.00,0.1092
2938.00,0.1096
2937.00,0.1101
2936.00,0.1106
2935.00,0.1110
2934.00,0.1114
2933.00,0.1118
2932.00,0.1121
2931.00,0.1125
2930.00,0.1129
2929.00,0.1134
2928.00,0.1139
2927.00,0.1144
2926.00,0.1149
2925.00,0.1152
2924.00,0.1156
2923.00,0.1159
2922.00,0.1161
2921.00,0.1163
2920.00,0.1165
2919.00,0.1166
2918.00,0.1167
2917.00,0.1168
2916.00,0.1169
2915.00,0.1170
2914.00,0.1171
2913.00,0.1173
2912.00,0.1175
2911.00,0.1176
2910.00,0.1178
2909.00,0.1179
2908.00,0.1180
2907.00,0.1180
2906.00,0.1180
2905.00,0.1181
2904.00,0.1182
2903.00,0.1183
2902.00,0.1184
2901.00,0.1186
2900.00,0.1187
2899.00,0.1189
2898.00,0.1192
2897.00,0.1194
2896.00,0.1197
2895.00,0.1201
2894.00,0.1205
2893.00,0.1209
2892.00,0.1213
2891.00,0.1216
2890.00,0.1219
2889.00,0.1223
2888.00,0.1226
2887.00,0.1228
2886.00,0.1231
2885.00,0.1233
2884.00,0.1234
2883.00,0.1235
2882.00,0.1237
2881.00,0.1238
2880.00,0.1239
2879.00,0.1239
2878.00,0.1240
2877.00,0.1240
2876.00,0.1240
2875.00,0.1239
2874.00,0.1239
2873.00,0.1239
2872.00,0.1240
2871.00,0.1241
2870.00,0.1240
2869.00,0.1239
2868.00,0.1238
2867.00,0.1236
2866.00,0.1233
2865.00,0.1231
2864.00,0.1229
2863.00,0.1226
2862.00,0.1223
2861.00,0.1220
2860.00,0.1217
2859.00,0.1215
2858.00,0.1213
2857.00,0.1210
2856.00,0.1208
2855.00,0.1205
2854.00,0.1203
2853.00,0.1200
2852.00,0.1197
2851.00,0.1194
2850.00,0.1192
2849.00,0.1189
2848.00,0.1187
2847.00,0.1185
2846.00,0.1183
2845.00,0.1181
2844.00,0.1179
2843.00,0.1176
2842.00,0.1173
2841.00,0.1170
2840.00,0.1167
2839.00,0.1164
2838.00,0.1162
2837.00,0.1160
2836.00,0.1158
2835.00,0.1156
2834.00,0.1153
2833.00,0.1150
2832.00,0.1147
2831.00,0.1144
2830.00,0.1141
2829.00,0.1137
2828.00,0.1134
2827.00,0.1130
2826.00,0.1126
2825.00,0.1122
2824.00,0.1118
2823.00,0.1114
2822.00,0.1111
2821.00,0.1107
2820.00,0.1104
2819.00,0.1100
2818.00,0.1098
2817.00,0.1095
2816.00,0.1093
2815.00,0.1091
2814.00,0.1089
2813.00,0.1088
2812.00,0.1088
2811.00,0.1088
2810.00,0.1089
2809.00,0.1090
2808.00,0.1092
2807.00,0.1095
2806.00,0.1098
2805.00,0.1102
2804.00,0.1106
2803.00,0.1111
2802.00,0.1117
2801.00,0.1122
2800.00,0.1128
2799.00,0.1133
2798.00,0.1138
2797.00,0.1143
2796.00,0.1147
2795.00,0.1149
2794.00,0.1150
2793.00,0.1149
2792.00,0.1146
2791.00,0.1142
2790.00,0.1136
2789.00,0.1130
2788.00,0.1123
2787.00,0.1115
2786.00,0.1106
2785.00,0.1097
2784.00,0.1087
2783.00,0.1077
2782.00,0.1067
2781.00,0.1057
2780.00,0.1046
2779.00,0.1036
2778.00,0.1026
2777.00,0.1016
2776.00,0.1006
2775.00,0.0997
2774.00,0.0988
2773.00,0.0979
