Frequency (Hz),FFT Magnitude (dB)
200.93,-72.891
201.17,-71.779
201.42,-74.030
201.66,-70.802
201.90,-72.910
202.15,-70.078
202.39,-73.094
202.64,-69.748
202.88,-72.138
203.12,-69.904
203.37,-70.823
203.61,-72.423
203.86,-71.591
204.10,-71.665
204.35,-71.717
204.59,-71.433
204.83,-71.975
205.08,-71.657
205.32,-71.247
205.57,-71.837
205.81,-70.963
206.05,-70.169
206.30,-69.377
206.54,-70.725
206.79,-71.306
207.03,-73.111
207.28,-71.161
207.52,-71.144
207.76,-71.703
208.01,-71.976
208.25,-71.326
208.50,-69.914
208.74,-69.403
208.98,-70.926
209.23,-70.895
209.47,-68.062
209.72,-70.938
209.96,-72.365
210.21,-71.890
210.45,-69.402
210.69,-69.669
210.94,-69.886
211.18,-70.814
211.43,-71.150
211.67,-73.217
211.91,-69.107
212.16,-69.757
212.40,-69.601
212.65,-70.704
212.89,-71.554
213.13,-70.118
213.38,-69.824
213.62,-70.230
213.87,-73.900
214.11,-71.905
214.36,-71.099
214.60,-71.133
214.84,-73.341
215.09,-73.501
215.33,-72.745
215.58,-73.513
215.82,-72.440
216.06,-72.940
216.31,-70.407
216.55,-71.787
216.80,-71.094
217.04,-70.855
217.29,-69.578
217.53,-70.230
217.77,-70.370
218.02,-71.205
218.26,-70.620
218.51,-69.807
218.75,-70.546
218.99,-67.737
219.24,-71.939
219.48,-71.310
219.73,-69.682
219.97,-71.578
220.21,-72.376
220.46,-72.085
220.70,-70.470
220.95,-72.317
221.19,-70.295
221.44,-70.464
221.68,-70.688
221.92,-70.823
222.17,-69.680
222.41,-73.186
222.66,-70.629
222.90,-71.674
223.14,-71.122
223.39,-69.402
223.63,-69.764
223.88,-68.439
224.12,-70.932
224.37,-72.020
224.61,-67.903
224.85,-72.402
225.10,-69.813
225.34,-70.048
225.59,-67.993
225.83,-70.821
226.07,-72.184
226.32,-70.898
226.56,-70.730
226.81,-72.476
227.05,-71.503
227.29,-68.031
227.54,-68.953
227.78,-68.995
228.03,-69.360
228.27,-70.319
228.52,-71.135
228.76,-68.731
229.00,-71.192
229.25,-68.991
229.49,-68.465
229.74,-68.491
229.98,-69.952
230.22,-69.549
230.47,-70.597
230.71,-68.970
230.96,-70.333
231.20,-68.524
231.45,-68.572
231.69,-70.287
231.93,-69.538
232.18,-70.988
232.42,-68.701
232.67,-69.523
232.91,-68.981
233.15,-69.310
233.40,-72.271
233.64,-73.554
233.89,-69.630
234.13,-68.308
234.38,-69.470
234.62,-69.302
234.86,-68.731
235.11,-66.870
235.35,-67.170
235.60,-68.627
235.84,-70.167
236.08,-70.190
236.33,-69.783
236.57,-70.394
236.82,-69.110
237.06,-69.227
237.30,-66.447
237.55,-67.933
237.79,-66.614
238.04,-69.405
238.28,-68.498
238.53,-68.263
238.77,-69.808
239.01,-71.107
239.26,-67.144
239.50,-69.945
239.75,-70.854
239.99,-68.477
240.23,-68.294
240.48,-71.039
240.72,-69.507
240.97,-68.572
241.21,-66.334
241.46,-67.345
241.70,-69.331
241.94,-67.255
242.19,-68.505
242.43,-66.629
242.68,-67.532
242.92,-68.706
243.16,-68.512
243.41,-68.224
243.65,-70.151
243.90,-66.514
244.14,-72.192
244.38,-69.487
244.63,-67.358
244.87,-67.728
245.12,-67.557
245.36,-68.632
245.61,-68.251
245.85,-69.223
246.09,-67.784
246.34,-66.445
246.58,-67.383
246.83,-69.627
247.07,-66.390
247.31,-68.198
247.56,-68.594
247.80,-69.235
248.05,-68.619
248.29,-68.031
248.54,-67.419
248.78,-66.695
249.02,-67.327
249.27,-67.744
249.51,-66.149
249.76,-66.304
250.00,-66.713
250.24,-66.731
250.49,-66.887
250.73,-66.658
250.98,-66.988
251.22,-65.903
251.46,-69.352
251.71,-68.800
251.95,-68.223
252.20,-68.644
252.44,-68.632
252.69,-66.805
252.93,-69.044
253.17,-67.104
253.42,-64.742
253.66,-67.273
253.91,-67.246
254.15,-66.805
254.39,-66.098
254.64,-68.144
254.88,-68.081
255.13,-66.204
255.37,-65.317
255.62,-66.334
255.86,-65.728
256.10,-66.852
256.35,-67.244
256.59,-67.682
256.84,-65.575
257.08,-67.188
257.32,-66.900
257.57,-66.313
257.81,-64.173
258.06,-67.888
258.30,-64.941
258.54,-64.624
258.79,-67.628
259.03,-63.733
259.28,-66.654
259.52,-66.216
259.77,-64.487
260.01,-68.500
260.25,-64.991
260.50,-64.590
260.74,-64.644
260.99,-66.888
261.23,-63.206
261.47,-65.178
261.72,-65.325
261.96,-63.182
262.21,-63.293
262.45,-64.684
262.70,-63.653
262.94,-64.649
263.18,-65.855
263.43,-65.790
263.67,-67.371
263.92,-64.880
264.16,-64.227
264.40,-65.422
264.65,-64.536
264.89,-64.758
265.14,-66.384
265.38,-64.856
265.62,-66.819
265.87,-65.492
266.11,-65.120
266.36,-63.608
266.60,-64.510
266.85,-65.823
267.09,-63.619
267.33,-63.586
267.58,-64.144
267.82,-63.403
268.07,-65.210
268.31,-63.421
268.55,-64.402
268.80,-63.541
269.04,-63.300
269.29,-62.051
269.53,-62.101
269.78,-63.734
270.02,-62.605
270.26,-61.832
270.51,-60.373
270.75,-62.139
271.00,-64.239
271.24,-63.911
271.48,-64.696
271.73,-64.235
271.97,-64.491
272.22,-62.095
272.46,-63.922
272.71,-63.366
272.95,-62.514
273.19,-64.538
273.44,-64.312
273.68,-63.718
273.93,-60.155
274.17,-61.868
274.41,-62.796
274.66,-63.061
274.90,-62.381
275.15,-60.900
275.39,-61.199
275.63,-62.164
275.88,-60.481
276.12,-62.693
276.37,-64.148
276.61,-64.045
276.86,-62.275
277.10,-65.992
277.34,-62.839
277.59,-64.255
277.83,-60.312
278.08,-62.478
278.32,-63.517
278.56,-62.119
278.81,-60.929
279.05,-61.837
279.30,-61.485
279.54,-62.987
279.79,-62.157
280.03,-62.513
280.27,-60.767
280.52,-60.802
280.76,-60.980
281.01,-63.695
281.25,-61.084
281.49,-59.404
281.74,-64.263
281.98,-60.089
282.23,-61.452
282.47,-61.580
282.71,-60.230
282.96,-61.124
283.20,-63.251
283.45,-61.820
283.69,-61.865
283.94,-62.545
284.18,-60.530
284.42,-61.404
284.67,-61.770
284.91,-63.165
285.16,-60.258
285.40,-59.472
285.64,-59.693
285.89,-60.509
286.13,-60.158
286.38,-60.221
286.62,-59.491
286.87,-60.255
287.11,-56.972
287.35,-58.938
287.60,-61.105
287.84,-59.005
288.09,-60.683
288.33,-60.827
288.57,-60.423
288.82,-60.042
289.06,-60.541
289.31,-58.854
289.55,-61.961
289.79,-57.176
290.04,-59.625
290.28,-60.420
290.53,-60.319
290.77,-59.274
291.02,-58.366
291.26,-59.243
291.50,-60.421
291.75,-59.370
291.99,-58.837
292.24,-58.783
292.48,-60.297
292.72,-58.415
292.97,-61.510
293.21,-58.491
293.46,-56.114
293.70,-60.818
293.95,-58.259
294.19,-58.998
294.43,-58.735
294.68,-61.918
294.92,-62.436
295.17,-59.877
295.41,-60.848
295.65,-58.925
295.90,-60.836
296.14,-60.272
296.39,-61.828
296.63,-58.482
296.88,-58.417
297.12,-58.463
297.36,-58.311
297.61,-57.578
297.85,-57.839
298.10,-61.090
298.34,-61.136
298.58,-58.306
298.83,-61.110
299.07,-60.566
299.32,-59.218
299.56,-58.333
299.80,-61.009
300.05,-60.135
300.29,-61.970
300.54,-58.538
300.78,-59.015
301.03,-59.280
301.27,-58.502
301.51,-58.529
301.76,-58.964
302.00,-60.442
302.25,-63.585
302.49,-62.217
302.73,-60.823
302.98,-60.480
303.22,-60.610
303.47,-59.196
303.71,-62.762
303.96,-62.771
304.20,-60.607
304.44,-61.918
304.69,-59.725
304.93,-58.514
305.18,-58.670
305.42,-61.336
305.66,-59.006
305.91,-59.883
306.15,-60.954
306.40,-61.057
306.64,-59.351
306.88,-60.581
307.13,-59.898
307.37,-61.318
307.62,-59.843
307.86,-59.387
308.11,-58.311
308.35,-60.898
308.59,-59.436
308.84,-59.048
309.08,-60.442
309.33,-61.568
309.57,-61.505
309.81,-61.170
310.06,-62.559
310.30,-64.035
310.55,-61.155
310.79,-63.727
311.04,-60.488
311.28,-60.164
311.52,-60.410
311.77,-62.272
312.01,-61.753
312.26,-60.639
312.50,-63.259
312.74,-61.583
312.99,-60.039
313.23,-61.999
313.48,-61.911
313.72,-63.321
313.96,-61.792
314.21,-62.340
314.45,-64.294
314.70,-61.805
314.94,-63.616
315.19,-62.464
315.43,-62.243
315.67,-61.939
315.92,-64.327
316.16,-61.976
316.41,-62.636
316.65,-62.698
316.89,-62.845
317.14,-59.946
317.38,-62.318
317.63,-64.923
317.87,-64.512
318.12,-63.146
318.36,-62.176
318.60,-60.542
318.85,-62.268
319.09,-63.328
319.34,-62.949
319.58,-62.792
319.82,-62.546
320.07,-61.607
320.31,-62.473
320.56,-64.188
320.80,-61.669
321.04,-64.252
321.29,-62.292
321.53,-63.673
321.78,-63.348
322.02,-63.947
322.27,-65.573
322.51,-64.937
322.75,-62.137
323.00,-63.083
323.24,-64.729
323.49,-64.099
323.73,-64.086
323.97,-64.349
324.22,-63.562
324.46,-65.322
324.71,-65.443
324.95,-64.523
325.20,-62.610
325.44,-65.033
325.68,-65.441
325.93,-65.177
326.17,-66.215
326.42,-67.228
326.66,-66.323
326.90,-63.904
327.15,-63.339
327.39,-64.224
327.64,-66.083
327.88,-61.560
328.12,-64.309
328.37,-63.281
328.61,-65.571
328.86,-64.865
329.10,-65.254
329.35,-65.672
329.59,-64.720
329.83,-63.991
330.08,-65.442
330.32,-65.384
330.57,-65.482
330.81,-67.869
331.05,-65.868
331.30,-65.107
331.54,-65.910
331.79,-64.695
332.03,-66.432
332.28,-65.831
332.52,-64.590
332.76,-65.755
333.01,-67.188
333.25,-65.719
333.50,-67.485
333.74,-66.722
333.98,-66.878
334.23,-65.791
334.47,-66.442
334.72,-66.772
334.96,-67.836
335.21,-66.425
335.45,-66.648
335.69,-67.596
335.94,-68.019
336.18,-67.775
336.43,-67.500
336.67,-66.251
336.91,-66.330
337.16,-69.019
337.40,-67.227
337.65,-65.655
337.89,-66.348
338.13,-69.644
338.38,-67.515
338.62,-68.681
338.87,-67.741
339.11,-65.845
339.36,-68.870
339.60,-67.082
339.84,-66.568
340.09,-66.021
340.33,-67.206
340.58,-66.690
340.82,-65.731
341.06,-67.814
341.31,-65.665
341.55,-66.803
341.80,-66.137
342.04,-66.500
342.29,-68.609
342.53,-68.384
342.77,-69.420
343.02,-65.950
343.26,-67.619
